visit_time,review_date,rating,title,comment
May 2019,"June 4, 2019 ",5,Good food,Tipton Thai in 29th Topeka is good place to eat.. it doesn’t disturb your stomach and doesn’t worry your wallet as well. I have been here 4 times since Feb 2019. Good food. I like the Pineapple rice and also yellow curry rice. Try it 
May 2019,"June 3, 2019 ",5,Wonderful food.,We greatly enjoyed our meal at Tuptim Thai. This is a restaurant we visited two different times in our stay.
April 2019,"April 22, 2019 ",5,Can’t miss curry,I got the red curry and my wife got the yellow curry. The curry is very good and consistent. Hot will be hot and mild will be mild. We go here often. Can’t miss if you like Thai.
February 2019,"April 13, 2019 ",5,The BEST Thai in Town,"My family and I love coming here. The food is always amazing, the location is very clean, service is pretty quick, and the staff have always been great. The chicken Pad Thai is my top favorite, along with crispy potstickers and the Sweet Chili BBQ "
March 2019,"April 7, 2019 ",5,Without exception the best Thai restaurant in Topeka.,"My first visit was a year ago to Topeka I ate here and couldn’t wait to return to this area.
The menu is the most complete by category and entree.  The wait staff is always eager to answer questions, especially helpful if you are new "
February 2019,"March 19, 2019 ",4,Great place in food for lunch or a nice dinner out.,There is a wonderful variety of items on the menu and they will customize your dish to the heat level you'd like. Theyhave a spice tray they will bring to your table if you wish to add more. it's a very nice restaurant inside. It 
March 2019,"March 19, 2019 ",5,Nice atmosphere!,Celebrated  a friend's birthday party here. They accommodated 15 of us with one long table. This was really nice. Service was good  and so with the Thai food. Deliciousness was enjoyed by all. The celebrant even got a free dessert!
September 2018,"March 19, 2019 ",5,local place,Pricey but a different experience.  Waitress was very helpful in helping us order the spice level we would like.
November 2018,"February 3, 2019 ",4,Best THai Restaurant in Area,Good selection of foods. Some traditional Thai dishes not found elsewhere are great. Friendly staff and large dining area to accommodate many people with lots of spacng.
December 2018,"December 14, 2018 ",5,"A triple threat... excellent food, service and atmosphere ","Celebrated the end of finals with our son. 
We each ordered one of the three offered soups; each was fresh, loaded with veggies (and our favorite protein), and each broth was superb. The entrees were  just as good. The server was attentive, helpful, but not "
October 2018,"November 6, 2018 ",5,Nice!,"Yummy food, nice decor -- but not too fancy -- and generally good service. This is somewhere we go for family birthdays and slightly special occasions, or because it's Friday and we are craving Thai. You choose the level of spice you want, and/or they "
October 2018,"October 18, 2018 ",5,Very Nice Thai Restaurant,"Went here for dinner while on business.  Great selection of Asian beers and a wide rage of Thai food.  I got the basil fried rice with a selection of protein.  It was very tasty.  Portion size was generous.  It erred a little on the ""american"" "
October 2018,"October 5, 2018 ",5,Carryout ,We’ve ordered carryout twice in the last week.  The pad Thai and drunken noodles were very good.  Make sure to ask for soy sauce and anything else or you won’t get it.  That’s my only complaint.
October 2018,"October 3, 2018 ",5,Birthday,"4 of us ate together on a week night with little wait time and great service. Food was the usual lively flavors, with enough spice and heat."
August 2018,"October 3, 2018 ",5,Super Service,"You will get treated like Royalty here.  They have the nicest people that bend over backwards for you.

The coconut Lime Soup is out of this world!!!!!

I cannot get enough of thier crab fried rice!!!"
July 2018,"October 2, 2018 ",5,Flavor Extreme,Chicken Thunder is my favorite entree but don’t forget to get the crab Rangoon money bags because they are best in the region.   Friend got Pad Thai and was very pleased.  There are vegetarian and vegan dishes to enjoy.  Great variety on the menu.
September 2018,"September 30, 2018 ",4,Food Typhoon,Four Thai-Foon is one of the best Asian dishes I've ever eaten.  My wife and daughter swear by Tuptim Passion & Tom Kha (coconut soup).  Appetizers like Money Bags and Thai Crisp Spring Rolls have been consistently excellent.  Always friendly staff always warns patrons of 
August 2018,"August 30, 2018 ",5,Went back this week with my sister and her husband,"I have not been back to this restaurant for probably 2 years.  Was I surprised.  Cleaned up, better tables and chairs, bright caring servers and a very welcome greeting at the door.  The food for each of us was excellent with great spices and plenty "
June 2018,"August 29, 2018 ",4,Early Dinner,Great service. My food was spicier than I anticipated. Our waitress warned me it was pretty hot. My wife's choice was excellent 😊
July 2018,"August 27, 2018 ",5,Everything Good,"My wife and I make Tuptim a regular stop, and when ever we have family in town eating there is a must. The food is always delicious and filling; the staff friendly and accomodating. 

You cannot go wrong dinging at Tuptim Thai."
August 2018,"August 26, 2018 ",4,Consistently very good,Food is consistently good here and the portions are very generous.  Always nice to go to a place with cloth napkins and a tablecloth.
July 2018,"August 6, 2018 ",5,I've eaten here numerous times.,"The place is clean, the staff are helpful and the food is delicious!
Warning! When the menu says something is HOT, they mean it!"
May 2018,"August 6, 2018 ",5,Best Thai Food in Topeka,"This place never disappoints. I have never had a bad experience here. Their food and service are both phenomenal. This place is great for ""date night"" or working lunches."
June 2018,"July 9, 2018 ",4,Good food,This is the best Thai food in Topeka. There are also good Thai places in Lawrence. I like the Cashew Chicken and my friends have like the money bags and the duck.
July 2018,"July 9, 2018 ",4,Great Thai,"Great date location. They can custom the order, if you think it will be too spicy. Pricey, but worth it"
March 2018,"July 1, 2018 ",5,Best in Topeka,"We have been going to Tuptim Thai for years and NEVER had a bad experience. The food is always fresh, delicious, and the server is impeccable. I honestly wish there were more places like this in Topeka."
June 2018,"June 28, 2018 ",4,Great food,Everytime I come to Topeka I have to eat here.  The food is fantastic!   The only reason they didn't get 5 stars is because they do not have quality wine on the menu.
May 2018,"June 18, 2018 ",3,Under New Management,"The food is still good, but not the same as the former owners.  The staff seems to have changed over as well.  Not as friendly.  But still the best Thai in town."
June 2018,"June 12, 2018 ",5,Great Thai Food!,We’ve been to this place several times and are never disappointed! We love to bring out of town guests and know we will never disappoint them! Quick friendly service and the pad Thai is the best I’ve ever had.
June 2018,"June 8, 2018 ",3,Their motto sums it up perfectly...,"When you arrive at Tuptim Thai, you are greeted by their sign ""Fine Thai Cuisine for the Heartland"" and this perfectly sums up their food. 
While all the flavors were good, everything we tried lacked the flavor risks associated with Thai food. Everything felt safe too "
May 2018,"May 29, 2018 ",5,LOVE THIS PLACE,I have never had bad service or bad food there. I love the food and we always get the money bags and they are amazing!
May 2018,"May 27, 2018 ",4,Tuptin Thai Terrific,Terrific Thai food with generous portions is what you will get at Tupkin Thai! My personal favorite is the Chicken Pad Thai. You get so much it’s three meals! Great food and service  the ambiance is a tad ti
May 2018,"May 16, 2018 ",3,Average Thai with good service,"I visited this restaurant due to good ratings
My server was great. Very friendly
I got chicken thunder. Overall it was good flavors but I will say the chicken seemed a bit over cooked and slightly tough

I think it’s worth coming here again"
April 2018,"May 1, 2018 ",5,Great As Always,"When we visit our friend in Topeka, this is our go to place to treat her for lunch.  The food is really fresh and delicious.  We are never disappointed with our meals here."
March 2018,"April 4, 2018 ",5,Great Lunch Spot,"As a transplant to the Midwest, I do not often find foreign cuisine that meets my harsh standards: Tuptim Thai does. My husband and I frequent this comfortable restaurant for their food (I like the Chicken Thunder, my husband orders the Thai Fried Rice), their "
January 2018,"March 27, 2018 ",4,Surprised,"Wife and I ate lunch here a couple years ago and I was very disappointed with the food. I think the reason I was disappointed was because I ordered something I really didn't like. 

Tried this restaurant again, and to my surprise, it was very "
March 2018,"March 25, 2018 ",5,Pad Thai Fan,"I'm one of those people who discover a meal that they love and have a hard time trying anything else. 

I love the Pad Thai at this restaurant 

I look at the menu with the idea of trying something else and I seldom am able "
February 2018,"March 3, 2018 ",5,Fresh and flavorful,"Wonderful and always fresh. Favorite is the Panang curry chicken, spring rolls and money bags. Great deals for lunch."
February 2018,"February 28, 2018 ",4,Good quick Thai lunch,"Very close to my location and had excellent reviews so it was worth the stop. It was good Thai and the service was quick and friendly. I have had better Thai food, but that is not to say this wasn't worth the stop. I would "
February 2018,"February 12, 2018 ",3,Average,"Thai food is my absolute favorite, and I try Thai restaurants whenever I travel. The peanut sauce was very thin and watery  it lacked flavor and spice. I am not sure what they do to theirs, but my significant other and I thought it tasted "
January 2018,"February 6, 2018 ",5,Excellent Thai Food in Topeka!,"Overall: We love this place.  I have never had something I did not like.  You HAVE to get the moneybags, and I recommend the Pad Thai and Thai Basil Chicken.  Last month we have a very pleasant experience with a younger guy who was our "
January 2018,"January 23, 2018 ",4,"Agreed... Good, not great","The menu has a lot of options and some interesting items. I had the panang Curry and although good, it was a little too sweet."
December 2017,"January 22, 2018 ",4,"Good, not great","When the original owners had it, it was great. New owners don't have the same magic. Still food is good, service is ok."
January 2018,"January 21, 2018 ",4,Always good!,This restaurant is very consistent and always gets my meal correct. While everything is tasty I enjoy the Thai noodles and never leave without my money bags. It is a great place eat weekly.
January 2018,"January 17, 2018 ",4,Thai in Topeka,Was a bit sleeping at first.  Seating was quick and the menu is plentiful.  Had the red chicken curry.  Excellent dish.  Co worker had the pad Thai.  Also an excellent dish.  Especially liked the peanuts added in a separate bowl.  Waitress was nice.  Overall very 
January 2018,"January 13, 2018 ",3,Disappointed ,"We came here because the last time we ate here was so good I ordered the mint salad-which did not have mint my husband ordered the duck which was, IMO inedible . The rest was OK at best. Thai tea, ok-spring rolls-ok, vague sauce that we couldn’t "
January 2018,"January 5, 2018 ",5,Yum Yum Thai,"Delicious Thai food, variety for everyone. Took beef out of our order without blinking an eye. Friendly service, large shareable portions. Highly recommend it!"
December 2017,"December 26, 2017 ",5,A+,"We don't get to Topeka often.   Whenever we have the opportunity,  we stop here.  It is definitely the best Thai food we have ever had .over and over and over again.   Great food and very fine service.  Can't wait to get back to Top"
November 2017,"December 21, 2017 ",4,Best Pad Thai in town,"Always consistent, great flavor. Sweet chili noodles and money bags are also a favorite.

Nice sit down atmosphere. Choice of beers includes beers from Thailand."
December 2017,"December 3, 2017 ",5,Carry out.. so far the best Thai I've had in the mid west area,"I've lived in a lot of places, and have had some amazing Thai food.  This was pretty great. I had the tofu pad thai and requested hot  it was very delicious and a large portion. I happily have left overs for lunch today. :)  I "
November 2017,"November 27, 2017 ",5,Imagine yourself in Thailand,"This is one of my favorite restaurants!  The food is delicious and fresh.  I've been to Thailand and this is authentic Thai food.  You can request mild, medium, hot or Thai hot.  Thai hot will probably blow the top of your head off."
November 2017,"November 14, 2017 ",5,Something for everyone.,"We went as a group of 5, everyone loved everything that they ordered. We ordered the money bags as an appetizer, which were so good! The pad see ew was amazing, as were the drunken noodles. I also ordered the thai iced tea, it was "
November 2017,"November 14, 2017 ",4,Delicious!,Came for lunch on a weekday and the place was packed! Had red curry which was delicious. Prices very reasonable.
September 2017,"November 10, 2017 ",5,Best in Topeka,Service and food is wonderful - get the Money Bags appetizer. They have different levels of heat; I usually get Medium but my try Hot next time.
October 2017,"November 9, 2017 ",5,Great Thai in Topeka!,The portions are large and the food is excellant. Great service and very clean restaurant.Enjoyed a fun evening with friends!
November 2017,"November 9, 2017 ",5,One of the best restaurants in Topeka!,Excellent food with great variety.  The service has been top notch for every visit.  Easily one of our top two or three restaurants in Topeka.
November 2017,"November 8, 2017 ",5,Wonderful Flavors,Everyone in our group loved their meal here.  We'd definitely come back!  The menu has lots of great choices.  The staff were very welcoming.
November 2017,"November 1, 2017 ",5,Thai in Topeka,"Great Thai in Topeka?  I will be the judge of that - haven eaten Thai all over the world.  So I went - ummm, yeah it’s amazing!  #2 place to eat in Topeka based on Trip Advisor - don’t miss it.  Order the “money bags” "
October 2017,"October 14, 2017 ",5,"""Best Thai ever""","We eat every two years when we visit with family in Topeka. I
order pineapple rice with shrimp. This dish is delicate and the sweetness of pineapple, plump raisins, and toasted cashews is perfect. I ask for medium spiced.  If garlic is not to your "
October 2017,"October 13, 2017 ",5,Great food!,"I had the privilege of visiting Tuptim Thai while on a business trip in Topeka. I highly recommend trying out the restaurant. I had the Thunder Chicken, and it was absolutely delicious."
September 2017,"October 11, 2017 ",5,Fabulous,"Three of us were in town for a convention and we Yelped places for dinner. This sounded wonderful and the pictures looked good. The third member of our party who's been to Thailand a number of times said, ""Thai food? Here?""

Well, we hit the "
August 2017,"October 2, 2017 ",5,Tuptin Thai ,Best priced restaurant in Topeka.  The food is consistently fresh and good. I have been eating there for twenty years.
August 2017,"September 20, 2017 ",5,Delicious!,"Tuptim Thai is a great local place to dine.  It is quiet, and they have great service.  They have a great menu, BUT I have never been able to bring myself to order anything but the Pad Thai, because it is fantastic!  I also get the "
September 2017,"September 14, 2017 ",5,Great menu and service,"We enjoyed a great selection variety from appetizers through three separate meals.  Quick and accommodating service, from the water through the bill payment process. 
 Each of us thoroughly enjoyed what we ordered and ready to go back.  If you like it really hot, go for "
September 2017,"September 10, 2017 ",5,Yummy,Huge portions and huge menu selection. We had a large party and the service was awesome.  I had the cashew chicken with Thai Hot.  Very good and fresh.  Everyone enjoyed their food.  Loved the moneybag appetizers.
September 2017,"September 5, 2017 ",4,"Good Thai to suit most tastes, but get the spice tray! for the real experience!",My husband discovered this restaurant a number of years ago with his office pals and it's become our go-to place in Topeka when we eat out (must say it's rare occasion as we like to cook).  Good Thai with huge portions.  My husband and I 
September 2017,"September 3, 2017 ",4,Good thai,Good food. Friendly staff and prompt service. Pad Thai is really good. No complaints! Will definitely be back!!
August 2017,"August 25, 2017 ",5,"Loved the 'King and I' reference, too!","While I like Thai food, I was the least experienced person in my party when it came to it. I thought the Drunken Noodles were delicious; my cousin, who is more familiar with the cuisine, thought they were too sweet. But hey- I'm the one "
July 2017,"August 8, 2017 ",5,Solid choice,"My wife and I have been here only a couple times, but have had a good experience on each occasion. The first time our server was friendly and attentive w/o being overbearing. The second time, our server was almost non-existent and other servers had to "
July 2017,"August 8, 2017 ",5,love Love LOVE Tumptin Thai!!!,"I have been to Tumptin Thai numerous times.   And each time I have been extremely happy with the food and service.  I cannot recall EVER having to wait a long period of time for a table.  Worth every $$! 

This place is great for all, "
August 2017,"August 8, 2017 ",5,Amazing every time!,"My husband and I love this place, especially for lunch!  So much to love!  My all time favorite is thunder chicken (or maybe chicken thunder)!   Delicious!  Custom made!  Fresh ginger!  I also enjoy the hand created spring rolls!  Many people love the money bags, but "
August 2017,"August 8, 2017 ",5,Always consistent ,"Sometimes we just get a craving for some Pad Thai and this place always delivers! Whether eating in or carry out, we know the food will be fresh and delicious. Servings are generous and we always get at least two meals from an entree. You'll "
April 2017,"August 6, 2017 ",4,Good food and service.,"I am repeat customer for the Crab Fried Rice.  You will find many menu options but this is the best ~ for me anyway.  You have the option of trying it mild, medium or hot what ever you prefer."
August 2017,"August 2, 2017 ",5,Very Good Food But Pricey,"We all loved the food, plus the beer was very cold! My only problem is that it's a little pricey for Topeka. I would go back, but I'd make sure I had a pocket full of mone"
July 2017,"July 31, 2017 ",5,Fabulous Authentic Thai Food,"You won't find a place in Topeka, Ks that comes close to comparing to Tuptim Thai. We love their Pad Thai, their Cashew Duck is excellent and their appetizers are always spot on.  IT is always a delight to eat here."
July 2017,"July 31, 2017 ",3,Just OK,"We chose Tuptim Thai based on all the excellent reviews, but we found that our actual meal didn't live up to all the hype. We arrived during the late afternoon, before the dinner ""rush."" The service was just OK and they have NO children's menu— "
July 2017,"July 24, 2017 ",4,Good ,"We do love certain dishes at tuptim. Prices are higher than what we've seen when visting similar restaurants in Chicago or Denver. However they have the monopoly on Thai food in Topeka, so. Always great service."
May 2017,"July 10, 2017 ",5,Great food,"This place always has great food and excellent service.  My favorite is the Pad Thai, but their menu is diverse and full of yummy options!"
June 2017,"June 21, 2017 ",5,Great Thai food with even better service.,I come here often for lunch.  Food is always great (Massaman Curry Bowl is my favorite).  Service is exceptional.  You have to get the Money Bags as well.  Great local place.
May 2017,"May 24, 2017 ",4,Good Thai Food,Very good food and service in this restaurant.  You must try it when in Topeka. The money bags are the best around!
May 2017,"May 22, 2017 ",5,Good food good prices,Nice and clean nice decor. The food was tasty and and generous portion. We stopped for lunch after church and there was ample seating.
May 2017,"May 22, 2017 ",4,Always Good ,"Tuptim Thai is always very good!  Both food and service!!  Prices are reasonable and the restaurant is clean.  If in Topeka, you will be glad you stopped to eat at Tuptim Thai."
November 2016,"April 20, 2017 ",4,Surprising Thai in Topeka ,"Tuptim Thai opened two or three years ago. We heard of it by word of mouth and decided to try it for lunch. Were we surprised.

I've had Thai from Bangkok to the eastern seaboard of the US and Tuptim more than holds its own ."
April 2017,"April 19, 2017 ",5,Best Thai food ever ,I travel frequently and have tried Thai food on trips in NYC and SF but this is the best Thai food I have ever had.   Carry out portions are huge and the pad Thai is amazing!   We eat here at least once a week
April 2017,"April 13, 2017 ",5,So good!!!,"This place is absolutely amazing.  The food is delicious, and the service is great.  I can't go a day without thinking about money bags :)"
March 2017,"April 10, 2017 ",4,Very good Thai food,Always enjoy eating at Tuptin Thai.  Servers are attentive and helpful.  Food is always delicious.  Lots of choices.
March 2017,"April 10, 2017 ",4,Nice change of pace,This restaurant is a nice change of pace for something different… Once crowds are big so get there early but service is very very fast and always very pleasant
March 2017,"April 6, 2017 ",5,Great food!,Love the food here! It is fast service and great authentic thai food. It can be alittle on the pricey side if you order too many things but they give you huge portions so you dont need to order a ton!
August 2016,"April 5, 2017 ",4,Nice dinner spot,This place has pretty good Thai food in a nice atmosphere.  We've gone as a couple and as a family (with toddler).
January 2017,"March 14, 2017 ",5,One of my favorites,"I'm not an expert in Thai food, but Tuptim Thai has become one of my favorites here. The menu is extensive, with dishes all across the spectrum. The ""heat"" in most​ dishes can be adjusted to your liking, and the staff is knowledgeable and helpful "
January 2017,"March 13, 2017 ",5,Dinner,"Excellent food, wait server are friendly. There is not a lot of high turnover in staff, so you get to know the wait staff."
March 2017,"March 11, 2017 ",4,March 10th lunch,Very good. Good atmosphere. Wait staff very helpful in describing each dish. Gets crowded soon after noon.
January 2017,"March 8, 2017 ",5,Never disappointed,We love the pad thai and money bags. But don't forget dessert - the sticky rice with mango is out of this world. This is one of the few dining choices where every member of my family from ages 5 to 60 can find an 
December 2016,"March 5, 2017 ",5,Always a Crowd!,I have eaten Thai food all over the world and Tuptim Thai stands up very well. The heat scale of 1-4 plus Thai hot can be misleading; I like hot and a dish at a 3 level gives me pause. The Larb is very good 
March 2017,"March 2, 2017 ",5,Great food,Always get their $Money Bags and Summer Rolls and their the best! Order their entries and you can't go wrong!
August 2016,"February 20, 2017 ",5,Consistently delicious,Been to Tuptim several times over the years and I've always had a very pleasant experience. The food is delicious and the staff is very friendly.
January 2017,"February 16, 2017 ",5,"Not the best I've EVER had, but very good!","This IS one of my favorite restaurants in Topeka.  The setting is quiet and great for an evening out with friends or that ""special someone"".  I have never had a dish here that wasn't perfectly prepared. Delicious, served at the exactly right temperature, and pleasing "
January 2017,"February 13, 2017 ",5,Great food,"Delicious Food.  Friendly people.  Would definitely go back.  This is our go to place.  They don't rush , but we get our food quick and is always hot."
October 2016,"February 13, 2017 ",5,Love their food.,Their food is super delicious.  They plate their dishes beautifully and the staff is great!  We frequent Tuptim Thai several times a year and are never disappointed.
January 2017,"January 29, 2017 ",4,Yum,"I really enjoyed my meal and experience here. The Tom Ka soup was delicious, I highly recommend you try it!"
January 2017,"January 24, 2017 ",5,Great food/atmosphere,Took my staff for lunch. Most had not been there. All were pleased with their selections. Price was good for the food received.
December 2016,"January 18, 2017 ",5,good asian meal,"so again our family ate out the food was plentiful, server great, appeared clean, etc. no problems reaonably priced will return."
January 2017,"January 17, 2017 ",4,Great Thai food in Topeka,"Highly recommend pad Thai, massaman curry, and the soya bean noodles with chicken.  All meals come with soup of the day. Money bags are great appetizer."
September 2016,"January 17, 2017 ",5,Excellent!,"Upscale Thai restaurant,  great atmosphere,  clean! Attentive servers.  Consistently delicious food.   My choice for Asian cuisine.   Hours can be varied as it is locally owned."
January 2017,"January 17, 2017 ",5,First time,This was our first time here. This was a very clean restaurant. Family oriented and the servers were very good. The portions of food were large but very well prepared. We will go back again.
January 2017,"January 13, 2017 ",4,Really great Thai food ,"We were quite pleased with the fresh spring rolls, pot stickers, and all of our entrees. The service was adequate and the atmosphere pleasant. We will definitely return the next time we are in Topeka."
January 2017,"January 2, 2017 ",5,Favorite ,"Good food,  and service.   Sometimes the medium is more spicy.   I get mild and spice it up with the spice tray."
December 2016,"January 2, 2017 ",5,Where the locals go to get their taste buds delighted,My very elderly cousin took us while we were visiting Topeka for a treat.  YUM! Great flavorful food and very good customer service. The hot IS hot so beware! Wish we had one back home so enjoy while you can!
July 2016,"November 27, 2016 ",4,At least once a year,"I travel to Topeka once or twice a year to join a group of sewists at The Sewing Workshop.  Several of us always make a point to visit Tuptim Thai.  It is owned and managed by a couple from Thailand. The food is delicious, and "
May 2016,"November 16, 2016 ",5,Great food,Great food. Lots of choices/variety. We had good service while we were there too.  Accommodated special requests.
November 2016,"November 15, 2016 ",5,Enjoyed lunch!,"My husband loves their red curry and I love their basil meals!  The money bags are excellent and dessert was great, too!  We arrived at 11:30am and didn't have to wait on food, but if you arrive at noon or after, the restaurant is full ."
October 2016,"October 25, 2016 ",5,Best Thai food this side of Thailand,"OK, maybe I've overstated since I've never been to Thailand, but I can't imagine anything better than Tuptim Thai. First, the young woman who seated us was so friendly and made some recommendations based on our questions. Then, our server, Lorri, was great! She, too, "
October 2016,"October 24, 2016 ",3,"For Topeka, very good.","For Topeka, very good.  As a huge fan of Thai food and a frequent visitor to Thailand the food is average at best.  The staff are friendly.  The restaurant is welcoming and clean."
October 2016,"October 21, 2016 ",5,Really Excellent,"I had read the great reviews and was able to take in a visit on a Friday evening at 8:00 or so. No waiting and a nice atmosphere. My server, Lorri gave me a fine recommendation of the three selections I had made.  The Cashew "
August 2016,"October 19, 2016 ",4,"Great food, good service","We visited on recommendation from a friend.  The server was attentive but not overly, the food was delicious although one dish which she described as mild and we asked for not spicy, definitely had some heat! 
Be sure to specify 'no heat' or for a "
